"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37"
"1",200,700,1200,1700,2200,2700,3200,3700,4200,4700,5200,5700,6200,6700,7200,7700,8200,8700,9200,9700,10200,10700,11200,11700,12200,12700,13200,13700,14200,14700,15200,15700,16200,16700,17200,17700,18200
"2",186.223324192937,682.409552828872,1196.0467434636,1715.23820404395,2235.76186336091,2755.85246087285,3274.71589985632,3791.99554656614,4307.5490820143,4821.34474725703,5333.40924457929,5843.80006307239,6352.59017279696,6859.85932861717,7365.68905904835,7870.15977867443,8373.34915545181,8875.33123290567,9376.17601126864,9875.94930835925,10374.7127897205,10872.5240989845,11369.4370449387,11865.5018177482,12360.7652169288,12855.2708801809,13349.059506411,13842.1690690035,14334.6350171917,14826.4904645319,15317.766364225,15808.4916714996,16298.693493553,16788.3972277139,17277.6266885695,17766.4042248359,18254.7508267443
"3",173.063213374272,664.543795659108,1191.9555590888,1731.09497536265,2272.98818917959,2813.88215957489,3352.11978416399,3886.98441019813,4418.21371662009,4945.77468930784,5469.75183419899,5990.28871159925,6507.55624618406,7021.73517875166,7533.00628676547,8041.54500238957,8547.5185736961,9051.08471610606,9552.39114062444,10051.5755942219,10548.7661923689,11044.0819097424,11537.6331472226,12029.5223253319,12519.8444741767,13008.687802431,13496.1342357366,13982.2599198175,14467.1356866652,14950.8274840276,15433.3967695434,15914.9008714846,16395.3933183777,16874.924139883,17353.5401412987,17831.2851539682,18308.2002637409
"4",160.530706966098,646.418895579985,1187.72197003332,1747.59649072794,2311.73578507893,2874.15659920624,3432.26996141423,3985.00196999635,4531.99917058378,5073.26299555826,5608.97045047987,6139.3819728492,6664.79261262298,7185.50578036479,7701.81918458851,8214.01752905642,8722.3690235708,9227.12406126033,9728.51512022736,10226.7573414053,10722.0494602598,11214.5749020309,11704.5029287172,12191.9897732245,12677.1797247234,13160.206146642,13641.1924192412,14120.2528050053,14597.493238736,15073.012046273,15546.900596776,16019.2438939078,16490.1211112805,16959.6060773377,17427.7677145363,17894.6704373222,18360.3745130132
"5",148.632267635013,628.053047478297,1183.3413821812,1764.77004220135,2352.06295422557,2936.74315081001,3515.2220174798,4086.07842791195,4648.90382766165,5203.77518332708,5751.00022332164,6290.98910633105,6824.18814593924,7351.04535421281,7871.99284384252,8387.438364713,8897.76184728949,9403.31468669581,9904.42049814496,10401.3766234222,10894.4559775683,11383.9090024985,11869.9655975564,12352.8369575233,12832.7172841432,13309.7853579673,13784.2059692271,14256.1312130477,14725.7016577221,15193.0473962807,15658.2889919821,16121.5383281047,16582.8993718321,17042.4688612639,17500.3369237702,17956.5876330926,18411.2995118184
"6",137.369840032607,609.466548185536,1178.80908361904,1782.64407791811,2394.02943813534,3001.70878814617,3601.02841948741,4190.23842839157,4768.91894359072,5337.26906820822,5895.76888214771,6445.01292490576,6985.62664300873,7518.22462041161,8043.39047190853,8561.66816708006,9073.55941189386,9579.52419778228,10079.9829379391,10575.3193201208,11065.883397602,11551.9946601987,12033.9449520573,12512.0011737474,12986.4077461323,13457.3888355581,13925.1503515762,14389.8817340625,14851.757548779,15310.9389106503,15767.5747532048,16221.802961281,16673.7513825332,17123.538731676,17571.2753998584,18017.0641801354,18461.0009186969
"7",126.74099819937,590.681856930917,1174.12024439858,1801.24824311042,2437.69634569878,3069.11980155609,3689.73811264712,4297.50069558241,4892.0284401234,5473.6947643988,6043.19695656106,6601.35015603501,7148.98729147308,7686.91131761507,8215.87391483836,8736.56773415052,9249.62553770865,9755.62273965698,10255.0814889395,10748.4753057469,11236.2337539752,11718.7468896111,12196.3693663299,12669.424156663,13138.205888203,13602.9838151866,14064.0044553391,14521.4939250992,14975.6600061965,15426.6939746621,15874.7722206757,16320.0576847171,16762.701132583,17202.8422891021,17640.6108478984,18076.127372337,18509.5041008312
"8",116.739174552824,571.723638755255,1169.26991662089,1820.61342116654,2483.12606732693,3139.04149148261,3781.39611341171,4407.87769260854,5018.20874146038,5612.99473584735,6193.19802463314,6759.89183943429,7314.14515877909,7856.97072805001,8389.30417228254,8911.99847468936,9425.82590181714,9931.48332140444,10429.5988272232,10920.738609133,11405.4135468453,11884.085292574,12357.1717590522,12825.0520075388,13288.0705687965,13746.5412468049,14200.7504601935,14650.9601756094,15097.4104835556,15540.3218623393,15979.8971705789,16416.3234036956,16849.7732451926,17280.4064393891,17708.3710086353,18133.8043348693,18556.8341226435
"9",107.353960287566,552.618787265291,1164.25303488051,1840.77177449082,2530.38217313614,3211.53784253099,3876.04310265745,4521.37530737307,5147.42865596781,5755.10389840956,6345.67900643928,6920.52375701562,7480.97169773301,8028.26620378989,8563.54190090326,9087.82285790523,9602.02841496587,10106.9821111392,10603.4214675864,11092.0075469093,11573.3338054836,12047.9340605711,12516.2895468722,12978.8351101938,13435.9646170017,13888.0356680137,14335.3737025244,14778.2755736352,15217.0126660997,15651.8336196702,16082.9667124486,16510.6219511368,16934.9929083754,17356.2583415338,17774.5836223112,18190.1220022424,18603.0157355646
"10",98.5714645988564,533.396422887276,1159.06441711157,1861.75678489506,2579.52929412738,3286.67117929952,3973.71502285742,4637.99256920094,5279.64930553085,5899.94977252536,6500.54049989407,7083.12689070147,7649.33526373692,8200.65968985225,8738.44790278566,9263.90483994905,9778.10357068568,10281.9987017599,10776.4399470386,11262.1848307852,11739.910128527,12210.2219588412,12673.664583873,13130.7280371494,13581.8547160045,14027.4450743511,14467.862540817,14903.4377731986,15334.4723456259,15761.2419511556,16183.9991902493,16602.9760049164,17018.3858091417,17430.4253584449,17839.276394856,18245.1070980705,18648.0733689093
